track_name,track_id,album_name,album_id,artist_name,artist_id,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Bye Bye Baby (Taylor’s Version) (From The Vault),4qUijfYU8EoIWiY6oSyrgT,Fearless (Taylor's Version),4hDok0OAJd57SGIT8xuWJH,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2021-04-09,0.624,0.624,5,-7.86,1,0.0539,0.334,0,0.0995,0.527,80.132,242158,4
Lavender Haze,24emu3sabKISjRkrys28jq,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.735,0.454,7,-10.516,0,0.0876,0.236,0.00113,0.133,0.0751,97.043,202396,4
Maroon,6qxvy9Pe4RJIq5JBVbbwbS,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.65,0.397,7,-8.237,1,0.0365,0.0609,1.40E-06,0.089,0.0382,108.055,218271,4
Anti-Hero,5qIHFdkW6phMsTZlN2g8Lc,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.637,0.649,4,-6.59,1,0.0584,0.115,1.22E-06,0.147,0.497,96.935,200690,4
Snow On The Beach (feat. Lana Del Rey),7GA86Uo2jYbj8vIXe2nyWd,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.653,0.331,9,-13.534,1,0.039,0.705,0.0013,0.116,0.166,110.014,256124,4
"You're On Your Own, Kid",6PQOU00xWNrGwCZzboriXy,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.694,0.386,2,-10.312,1,0.0597,0.423,1.05E-05,0.126,0.39,120.044,194207,4
Midnight Rain,4eKMqf9ZMSclDX7V9Ptg7x,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.654,0.372,0,-11.704,1,0.0667,0.705,6.78E-05,0.114,0.198,140.15,174783,4
Question...?,7oomkQSYf1ia2VnVEWfFIU,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.741,0.509,7,-8.747,1,0.19,0.205,0,0.262,0.113,108.978,210557,4
Vigilante Shit,0GKDhq6ZbmSbRHd3eyGlB7,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.867,0.272,4,-11.014,0,0.363,0.157,3.42E-05,0.118,0.157,79.962,164801,4
Bejeweled,0VpF6RLdCfPIeYRwMu4tZK,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.695,0.546,7,-9.184,1,0.066,0.0648,0.000128,0.0883,0.425,164,194166,4
Labyrinth,4bBDkw2KBMX0tcgAaXC83Q,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.493,0.308,0,-15.489,1,0.0436,0.804,0.328,0.123,0.13,109.993,247962,4
Karma,45R112Jz5hQeKgITXgSXzs,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.647,0.614,8,-7.091,1,0.0651,0.0782,0,0.611,0.0956,90.034,204852,4
Sweet Nothing,2L09RYwH5Pjzca6PmbUAw3,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.335,0.166,0,-14.958,1,0.048,0.967,0.00012,0.115,0.391,175.917,188497,4
Mastermind,1QQii3pa5m8MEda0nbkjfw,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.661,0.345,4,-14.037,1,0.144,0.545,0.000915,0.0871,0.126,125.977,191039,4
The Great War,2VuqMjgoKaOHNM8HpxtXKx,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.573,0.737,5,-9.002,1,0.0352,0.203,2.78E-05,0.0851,0.592,96.009,240356,4
Bigger Than The Whole Sky,71CBDRKmF2VeRKYMG1DFBh,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.48,0.22,6,-12.469,1,0.0425,0.837,0.00269,0.116,0.0633,82.951,218503,4
Paris,5tWxKWq1DSP1s9WQ5PWuqu,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.691,0.498,7,-10.519,1,0.101,0.116,3.07E-05,0.136,0.454,110.963,196259,4
High Infidelity,1SztNGCwEHJEVFx90E5g7D,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.564,0.545,10,-10.17,1,0.104,0.726,0,0.0878,0.766,176.082,231475,4
Glitch,7C0w28EsX0Um2FrZs9gso2,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.677,0.451,11,-9.744,0,0.19,0.318,0,0.11,0.399,140.845,148781,4
"Would've, Could've, Should've",4txojlesMFQZGWxwz2EeqB,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.482,0.837,0,-6.501,1,0.12,0.435,0.00147,0.123,0.534,157.96,260362,4
Dear Reader,10GRRCR5fctuOF4GFmATJI,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.475,0.386,0,-12.038,1,0.0737,0.497,0.00104,0.119,0.162,107.601,225194,4
Hits Different,3xYJScVfxByb61dYHTwiby,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.672,0.782,5,-6.499,1,0.0421,0.148,4.73E-06,0.296,0.239,106.026,234467,4
Snow On The Beach (feat. More Lana Del Rey),4zmKGsrXjLmljb5fTaBTot,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.664,0.401,6,-10.934,0,0.0344,0.806,3.50E-06,0.108,0.315,109.846,229943,4
Karma (feat. Ice Spice),4i6cwNY6oIUU2XZxPIw82Y,Midnights (The Til Dawn Edition),1fnJ7k0bllNfL1kVdNVW1A,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-05-26,0.615,0.616,8,-6.523,1,0.0622,0.0623,0,0.579,0.0734,89.977,201493,4
